GC_Content	Count	sample
67	3771976.5	ERS185102
68	3258737.5	ERS185102
69	2711584.5	ERS185102
70	2381615.5	ERS185102
71	2188923.5	ERS185102
72	2108273.0	ERS185102
73	1861629.0	ERS185102
74	1552660.5	ERS185102
75	1180301.5	ERS185102
76	825948.5	ERS185102
77	723390.5	ERS185102
78	686137.0	ERS185102
79	521010.0	ERS185102
80	334122.5	ERS185102
81	262293.5	ERS185102
82	228293.0	ERS185102
83	195828.5	ERS185102
84	172048.0	ERS185102
85	151245.0	ERS185102
86	112178.5	ERS185102
87	87117.0	ERS185102
88	76503.5	ERS185102
89	71394.5	ERS185102
90	73974.0	ERS185102
91	67960.5	ERS185102
92	59845.0	ERS185102
93	59692.5	ERS185102
94	54442.5	ERS185102
95	48308.0	ERS185102
96	48137.0	ERS185102
97	49122.0	ERS185102
98	44771.5	ERS185102
99	39436.0	ERS185102
100	39436.0	ERS185102
0	7018.0	ERS185473
1	7018.0	ERS185473
2	6331.0	ERS185473
3	5192.5	ERS185473
4	4741.0	ERS185473
5	4769.5	ERS185473
6	4161.0	ERS185473
7	2163.5	ERS185473
8	1763.0	ERS185473
9	2798.5	ERS185473
10	2705.5	ERS185473
11	2739.0	ERS185473
12	3617.5	ERS185473
13	3992.0	ERS185473
14	3281.0	ERS185473
15	3459.0	ERS185473
16	4031.0	ERS185473
17	3538.5	ERS185473
18	3674.5	ERS185473
19	4343.5	ERS185473
20	6355.0	ERS185473
21	9841.0	ERS185473
22	11495.5	ERS185473
23	13245.5	ERS185473
24	18820.0	ERS185473
25	25131.5	ERS185473
26	30074.0	ERS185473
27	33352.0	ERS185473
28	37087.5	ERS185473
29	44954.5	ERS185473
30	90123.0	ERS185473
31	148505.5	ERS185473
32	189773.5	ERS185473
33	225372.5	ERS185473
34	314166.0	ERS185473
35	425837.5	ERS185473
36	485893.5	ERS185473
37	543193.0	ERS185473
38	595302.5	ERS185473
39	646087.0	ERS185473
40	742674.5	ERS185473
41	846297.0	ERS185473
42	907362.0	ERS185473
43	863378.0	ERS185473
44	753923.5	ERS185473
45	709480.5	ERS185473
46	709561.0	ERS185473
47	768837.5	ERS185473
48	1076583.0	ERS185473
49	1326964.0	ERS185473
50	1701551.5	ERS185473
51	2076139.0	ERS185473
52	2002830.5	ERS185473
53	1988885.5	ERS185473
54	1769811.5	ERS185473
55	1595772.0	ERS185473
56	1645565.0	ERS185473
57	1547826.5	ERS185473
58	1519493.0	ERS185473
59	1513659.0	ERS185473
60	1466185.0	ERS185473
61	1357770.0	ERS185473
62	1320582.5	ERS185473
63	1339420.5	ERS185473
64	1229670.0	ERS185473
65	1103103.0	ERS185473
66	1021321.0	ERS185473
67	945676.5	ERS185473
68	818109.0	ERS185473
69	668589.5	ERS185473
70	573574.0	ERS185473
71	503155.0	ERS185473
72	459324.5	ERS185473
73	422506.0	ERS185473
74	353084.0	ERS185473
75	238808.0	ERS185473
76	149487.5	ERS185473
77	129781.0	ERS185473
78	119924.0	ERS185473
79	84756.5	ERS185473
80	53739.0	ERS185473
81	46009.0	ERS185473
82	39736.0	ERS185473
83	34915.5	ERS185473
84	31367.5	ERS185473
85	27544.0	ERS185473
86	21273.5	ERS185473
87	16160.5	ERS185473
88	14447.0	ERS185473
89	14503.0	ERS185473
90	14930.5	ERS185473
91	15181.5	ERS185473
92	15572.0	ERS185473
93	16639.5	ERS185473
94	17429.5	ERS185473
95	17425.5	ERS185473
96	17401.0	ERS185473
97	30993.0	ERS185473
98	55534.5	ERS185473
99	66484.0	ERS185473
100	66484.0	ERS185473
0	17236.0	ERS185068
1	17236.0	ERS185068
2	13774.5	ERS185068
3	7433.5	ERS185068
4	4554.0	ERS185068
5	4556.0	ERS185068
6	5381.5	ERS185068
7	6669.5	ERS185068
8	9446.0	ERS185068
9	12494.0	ERS185068
10	11768.0	ERS185068
11	9648.5	ERS185068
12	8302.5	ERS185068
13	6252.0	ERS185068
14	4841.5	ERS185068
15	5336.5	ERS185068
16	6428.5	ERS185068
17	10347.0	ERS185068
18	18616.0	ERS185068
19	25930.0	ERS185068
20	33433.5	ERS185068
21	50950.5	ERS185068
22	69366.5	ERS185068
23	91732.0	ERS185068
24	119243.5	ERS185068
25	146040.0	ERS185068
26	175720.5	ERS185068
27	205503.5	ERS185068
28	250330.5	ERS185068
29	300608.0	ERS185068
30	428807.0	ERS185068
31	618235.0	ERS185068
32	732106.0	ERS185068
33	850003.0	ERS185068
34	1094119.5	ERS185068
35	1344365.0	ERS185068
36	1623931.5	ERS185068
37	1881579.5	ERS185068
38	2128350.5	ERS185068
39	2464051.5	ERS185068
40	2944746.0	ERS185068
41	3510979.0	ERS185068
42	3823516.0	ERS185068
43	3967283.0	ERS185068
44	3934513.5	ERS185068
45	3809735.0	ERS185068
46	3628727.0	ERS185068
47	3863781.5	ERS185068
48	5205056.5	ERS185068
49	6145898.0	ERS185068
50	7717269.0	ERS185068
51	9288640.0	ERS185068
52	8885064.5	ERS185068
53	8479849.5	ERS185068
54	7337316.5	ERS185068
55	6401160.5	ERS185068
56	6457298.0	ERS185068
57	6221722.5	ERS185068
58	6171659.0	ERS185068
59	6216213.5	ERS185068
60	6124902.5	ERS185068
61	5823814.0	ERS185068
62	5634340.5	ERS185068
63	5440378.5	ERS185068
64	4856967.0	ERS185068
65	4432890.5	ERS185068
66	4147170.5	ERS185068
67	3780693.0	ERS185068
68	3350479.5	ERS185068
69	2851881.5	ERS185068
70	2479343.0	ERS185068
71	2137424.0	ERS185068
72	1911172.0	ERS185068
73	1752308.0	ERS185068
74	1447281.0	ERS185068
75	952341.5	ERS185068
76	605852.5	ERS185068
77	537187.5	ERS185068
78	507324.5	ERS185068
79	395494.0	ERS185068
80	278260.0	ERS185068
81	213838.0	ERS185068
82	166070.0	ERS185068
83	149023.5	ERS185068
84	137817.0	ERS185068
85	117623.0	ERS185068
86	87358.5	ERS185068
87	68188.0	ERS185068
88	52861.5	ERS185068
89	42828.5	ERS185068
90	41221.5	ERS185068
91	37517.5	ERS185068
92	32338.0	ERS185068
93	29483.5	ERS185068
94	26994.0	ERS185068
95	25621.5	ERS185068
96	25421.0	ERS185068
97	27955.0	ERS185068
98	35439.5	ERS185068
99	40390.0	ERS185068
100	40390.0	ERS185068
